Project Name,Package Name,Type Name,Method Name,Code Smell
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,cuboidMatchesAnywhere,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,isTiny,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,isTiny,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,isTiny,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,isTiny,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsCube,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsCube,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsCube,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsCube,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsCube,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsCube,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsCube,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsCube,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsShape,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsShape,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsShape,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsShape,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsShape,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsShape,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,exceedsShape,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,intersects,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeMatchesAnywhere,intersects,Magic Number
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,VoxelShapeSimpleCube,Long Parameter List
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,VoxelShapeSimpleCube,Long Statement
java,me.jellysquid.mods.lithium.common.shapes,VoxelShapeSimpleCube,VoxelShapeSimpleCube,Magic Number
