Project Name,Package Name,Type Name,Code Smell
java,me.jellysquid.mods.lithium.mixin.ai.pathing,ChunkCacheMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.pathing,LandPathNodeMakerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.pathing,PathContextAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.pathing,PathContextMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.poi.fast_portals,PointOfInterestStorageMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.poi.fast_portals,PortalForcerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.poi,PointOfInterestSetMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.poi,PointOfInterestStorageMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.poi,PointOfInterestTypesMixin,Unnecessary Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.poi,PointOfInterestTypesMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.poi,SerializingRegionBasedStorageMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.poi.tasks,HideInHomeTaskMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.poi.tasks,RaiderEntityAttackHomeGoalMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.raid,PickupBannerAsLeaderGoalMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.raid,RaiderEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.raid,RaidMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.sensor.secondary_poi,SecondaryPointsOfInterestSensorMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.task.launch,BrainMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.task.memory_change_counting,BrainMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.task.memory_change_counting,MultiTickTaskMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.task.replace_streams,CompositeTaskMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.task.replace_streams,WeightedListMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.useless_sensors,BrainAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.useless_sensors,SensorAccessor,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.useless_sensors.goat_item_sensor,GoatEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.ai.useless_sensors.parent_animal_sensor,PassiveEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.blockstate,StateMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.chunk_random,ServerWorldMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.chunk_random,WorldMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.chunk_ticking,ServerChunkManagerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.composter,ComposterMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.composter,ComposterBlockComposterInventoryMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.composter,ComposterBlockDummyInventoryMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.composter,ComposterBlockFullComposterInventoryMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.deep_passengers,EntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.entity_tracker,EntityTrackerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.enum_values.living_entity,LivingEntityMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.enum_values.piston_block,PistonBlockMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.enum_values.piston_handler,PistonHandlerMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.enum_values.redstone_wire,RedstoneWireBlockMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.explosion_behavior,EntityExplosionBehaviorMixin,Unutilized Abstraction
java,me.jellysquid.mods.lithium.mixin.alloc.nbt,NbtCompoundMixin,Unutilized Abstraction
